key,input,LogP
YSXKPIUOCJLQIE-UHFFFAOYSA-N,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,3.7460663
KHOITXIGCFIULA-UHFFFAOYSA-N,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,4.561701
VHYCDWMUTMEGQY-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1.9850256
OYVAGSVQBOHSSS-WXFSZRTFSA-O,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,-0.7478841
GXJABQQUPOEUTA-NVXWUHKLSA-N,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,0.7891246
VOVIALXJUBGFJZ-KWVAZRHASA-N,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,1.6557345
MAEIEVLCKWDQJH-UHFFFAOYSA-N,CCCCNc1cc(cc(c1Oc2ccccc2)[S](N)(=O)=O)C(O)=O,0.9113122
LEBVLXFERQHONN-UHFFFAOYSA-N,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,3.9756343
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,3.4966578
RCQXSQPPHJPGOF-UHFFFAOYSA-N,Cn1cnc2N(C)C(=O)N(C)C(=O)c12.OC(=O)CC(O)(CC(O)=O)C(O)=O,-2.7616785
LWQQLNNNIPYSNX-UROSTWAQSA-N,C[C@H](\C=C\[C@@H](O)C1CC1)[C@H]2CC[C@H]3\C(CCC[C@]23C)=C\C=C4\C[C@@H](O)C[C@H](O)C4=C,4.3308754
